G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
5, 2019-11-01, 22-273,SAS,@, GSW, W (+17), 0, 1:58,0,2, .000, 0,0,,0,0,, 2,1,3,0, 0, 0,1,1, 0
20, 2019-11-29, 22-301,SAS,, LAC, W (+10), 0, 1:04,0,1, .000, 0,0,,0,0,, 0,0,0,0, 0, 0,0,1, 0
21, 2019-12-01, 22-303,SAS,@, DET, L (-34), 0, 21:49,4,6, .667, 0,0,,1,1,1.000, 3,5,8,1, 0, 1,2,2, 9
22, 2019-12-03, 22-305,SAS,, HOU, W (+2), 0, 6:16,1,1, 1.000, 0,0,,0,0,, 0,2,2,1, 0, 0,1,0, 2
31, 2019-12-28, 22-330,SAS,, DET, W (+27), 0, 3:07,3,3, 1.000, 0,0,,0,0,, 1,2,3,0, 0, 0,0,0, 6
36, 2020-01-08, 22-341,SAS,@, BOS, W (+15), 0, 2:16,1,1, 1.000, 0,0,,0,0,, 0,0,0,0, 0, 0,0,1, 2
37, 2020-01-10, 22-343,SAS,@, MEM, L (-13), 0, 1:46,0,0, , 0,0,,2,2,1.000, 0,0,0,0, 0, 0,0,0, 2
52, 2020-02-08, 23-007,SAS,@, SAC, L (-20), 0, 3:35,1,1, 1.000, 0,0,,0,0,, 0,1,1,0, 0, 0,1,0, 2
58, 2020-02-29, 23-028,SAS,, ORL, W (+1), 0, 16:30,4,4, 1.000, 1,1,1.000,1,2,.500, 0,3,3,0, 0, 0,2,4, 10
59, 2020-03-02, 23-030,SAS,, IND, L (-5), 1, 16:33,1,1, 1.000, 0,0,,1,2,.500, 0,2,2,0, 0, 1,0,2, 3
60, 2020-03-03, 23-031,SAS,@, CHO, W (+1), 1, 11:12,1,1, 1.000, 0,0,,1,2,.500, 1,1,2,0, 0, 1,0,2, 3
61, 2020-03-06, 23-034,SAS,@, BRK, L (-19), 0, 15:23,3,3, 1.000, 0,0,,0,0,, 0,4,4,0, 0, 0,0,4, 6
62, 2020-03-08, 23-036,SAS,@, CLE, L (-3), 1, 21:59,2,4, .500, 0,0,,2,2,1.000, 1,5,6,1, 1, 2,2,4, 6
63, 2020-03-10, 23-038,SAS,, DAL, W (+10), 0, 6:57,0,0, , 0,0,,0,0,, 0,1,1,2, 1, 1,1,0, 0
