G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 34-020,DAL,, WAS, W (+8), 1, 16:02,2,5, .400, 0,3,.000,0,0,, 0,1,1,0, 0, 0,0,2, 4
2, 2019-10-25, 34-022,DAL,@, NOP, W (+7), 1, 5:44,1,2, .500, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 2
8, 2019-11-08, 34-036,DAL,, NYK, L (-4), 1, 4:39,1,2, .500, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 2
14, 2019-11-20, 34-048,DAL,, GSW, W (+48), 0, 12:00,4,5, .800, 4,4,1.000,0,0,, 0,0,0,1, 0, 2,0,1, 12
15, 2019-11-22, 34-050,DAL,, CLE, W (+42), 0, 8:28,2,3, .667, 0,0,,0,0,, 0,1,1,2, 0, 0,0,2, 4
22, 2019-12-07, 34-065,DAL,, NOP, W (+46), 0, 12:00,2,4, .500, 2,4,.500,0,0,, 0,0,0,0, 0, 0,1,0, 6
23, 2019-12-08, 34-066,DAL,, SAC, L (-4), 0, 3:30,1,1, 1.000, 1,1,1.000,0,0,, 0,1,1,0, 0, 0,0,0, 3
26, 2019-12-16, 34-074,DAL,@, MIL, W (+4), 0, 6:32,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,1,0, 0
34, 2020-01-02, 34-091,DAL,, BRK, W (+12), 0, 3:16,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,1, 0
40, 2020-01-14, 34-103,DAL,@, GSW, W (+27), 0, 8:12,0,1, .000, 0,0,,0,0,, 0,2,2,0, 0, 0,0,0, 0
51, 2020-02-05, 34-125,DAL,, MEM, L (-14), 0, 12:00,3,4, .750, 2,3,.667,0,0,, 0,1,1,1, 0, 0,0,1, 8
52, 2020-02-07, 34-127,DAL,@, WAS, L (-1), 1, 17:15,4,6, .667, 3,5,.600,0,0,, 1,1,2,0, 0, 0,0,3, 11
53, 2020-02-08, 34-128,DAL,@, CHO, W (+16), 0, 16:29,2,5, .400, 1,3,.333,0,0,, 0,0,0,1, 2, 1,0,1, 5
54, 2020-02-10, 34-130,DAL,, UTA, L (-4), 0, 15:31,0,1, .000, 0,1,.000,0,0,, 1,0,1,0, 2, 0,1,2, 0
57, 2020-02-22, 34-142,DAL,@, ATL, L (-4), 0, 21:26,0,4, .000, 0,4,.000,1,2,.500, 0,4,4,2, 2, 1,0,4, 1
58, 2020-02-24, 34-144,DAL,, MIN, W (+16), 0, 18:32,1,2, .500, 1,2,.500,0,0,, 1,4,5,1, 2, 0,2,2, 3
59, 2020-02-26, 34-146,DAL,@, SAS, W (+6), 0, 4:36,0,3, .000, 0,2,.000,0,0,, 0,1,1,1, 0, 0,0,0, 0
61, 2020-03-01, 34-150,DAL,@, MIN, W (+20), 0, 21:14,2,4, .500, 0,0,,0,0,, 1,3,4,0, 1, 0,0,2, 4
62, 2020-03-02, 34-151,DAL,@, CHI, L (-2), 1, 23:34,3,5, .600, 1,3,.333,1,1,1.000, 0,0,0,0, 3, 0,3,5, 8
63, 2020-03-04, 34-153,DAL,, NOP, W (+4), 0, 10:59,2,3, .667, 1,2,.500,0,0,, 1,0,1,0, 0, 0,1,1, 5
64, 2020-03-06, 34-155,DAL,, MEM, W (+25), 1, 29:16,5,6, .833, 3,4,.750,0,0,, 1,4,5,2, 2, 1,2,1, 13
65, 2020-03-08, 34-157,DAL,, IND, L (-3), 1, 31:28,2,9, .222, 1,5,.200,2,2,1.000, 1,1,2,0, 2, 0,0,3, 7
66, 2020-03-10, 34-159,DAL,@, SAS, L (-10), 1, 22:18,0,1, .000, 0,0,,2,2,1.000, 0,0,0,0, 2, 1,0,0, 2
67, 2020-03-11, 34-160,DAL,, DEN, W (+16), 1, 20:26,3,6, .500, 1,1,1.000,0,0,, 0,1,1,1, 0, 0,0,2, 7
