G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
3, 2019-10-26, 25-173,NYK,, BOS, L (-23), 0, 3:38,1,1, 1.000, 1,1,1.000,0,0,, 0,0,0,0, 0, 0,0,0, 3
5, 2019-10-30, 25-177,NYK,@, ORL, L (-12), 0, 13:04,0,0, , 0,0,,2,3,.667, 0,2,2,2, 0, 0,1,1, 2
7, 2019-11-03, 25-181,NYK,, SAC, L (-21), 0, 4:11,0,1, .000, 0,1,.000,0,0,, 0,0,0,0, 0, 0,1,0, 0
8, 2019-11-06, 25-184,NYK,@, DET, L (-20), 0, 3:43,1,2, .500, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 2
9, 2019-11-08, 25-186,NYK,@, DAL, W (+4), 0, 6:43,1,2, .500, 1,1,1.000,0,0,, 0,1,1,0, 0, 0,1,1, 3
10, 2019-11-10, 25-188,NYK,, CLE, L (-21), 0, 21:15,4,11, .364, 2,6,.333,0,0,, 0,1,1,1, 1, 1,0,0, 10
11, 2019-11-12, 25-190,NYK,@, CHI, L (-18), 0, 12:43,2,5, .400, 1,3,.333,0,0,, 2,2,4,0, 0, 0,0,3, 5
12, 2019-11-14, 25-192,NYK,, DAL, W (+3), 0, 23:09,3,8, .375, 1,5,.200,0,0,, 0,2,2,3, 3, 0,0,1, 7
13, 2019-11-16, 25-194,NYK,, CHO, L (-1), 0, 22:49,2,6, .333, 0,2,.000,0,0,, 0,3,3,2, 0, 0,0,1, 4
14, 2019-11-18, 25-196,NYK,, CLE, W (+18), 0, 18:01,5,10, .500, 1,5,.200,0,0,, 0,1,1,0, 0, 0,0,0, 11
15, 2019-11-20, 25-198,NYK,@, PHI, L (-5), 0, 19:34,1,6, .167, 0,2,.000,0,0,, 0,3,3,1, 0, 1,0,2, 2
16, 2019-11-23, 25-201,NYK,, SAS, L (-7), 0, 16:25,2,6, .333, 0,3,.000,0,0,, 0,0,0,1, 1, 0,0,0, 4
17, 2019-11-24, 25-202,NYK,, BRK, L (-2), 0, 20:54,3,7, .429, 1,3,.333,1,2,.500, 0,5,5,1, 1, 0,3,1, 8
18, 2019-11-27, 25-205,NYK,@, TOR, L (-28), 0, 11:57,2,6, .333, 2,6,.333,2,2,1.000, 0,1,1,2, 0, 1,1,0, 8
19, 2019-11-29, 25-207,NYK,, PHI, L (-6), 0, 19:32,3,8, .375, 2,4,.500,2,2,1.000, 0,0,0,1, 1, 0,0,2, 10
20, 2019-12-01, 25-209,NYK,, BOS, L (-9), 0, 31:33,4,6, .667, 2,4,.500,0,0,, 0,4,4,3, 1, 1,1,1, 10
21, 2019-12-02, 25-210,NYK,@, MIL, L (-44), 0, 28:45,5,10, .500, 2,7,.286,3,4,.750, 0,0,0,1, 1, 0,2,3, 15
22, 2019-12-05, 25-213,NYK,, DEN, L (-37), 0, 4:06,1,1, 1.000, 1,1,1.000,0,0,, 0,1,1,1, 0, 0,0,0, 3
23, 2019-12-07, 25-215,NYK,, IND, L (-1), 0, 14:25,4,11, .364, 2,8,.250,0,0,, 1,1,2,0, 0, 0,1,2, 10
24, 2019-12-10, 25-218,NYK,@, POR, L (-28), 0, 23:06,3,8, .375, 2,6,.333,0,0,, 1,3,4,0, 0, 0,0,0, 8
25, 2019-12-11, 25-219,NYK,@, GSW, W (+2), 0, 16:54,0,3, .000, 0,2,.000,0,1,.000, 0,2,2,3, 0, 0,0,2, 0
26, 2019-12-13, 25-221,NYK,@, SAC, W (+2), 0, 16:30,4,6, .667, 3,5,.600,0,0,, 0,3,3,3, 1, 0,0,0, 11
27, 2019-12-15, 25-223,NYK,@, DEN, L (-6), 0, 6:53,0,1, .000, 0,1,.000,0,0,, 0,0,0,0, 0, 0,0,0, 0
28, 2019-12-17, 25-225,NYK,, ATL, W (+23), 0, 24:02,3,6, .500, 1,3,.333,2,2,1.000, 0,1,1,1, 0, 0,1,0, 9
29, 2019-12-20, 25-228,NYK,@, MIA, L (-15), 0, 23:05,2,7, .286, 0,5,.000,4,5,.800, 0,0,0,5, 1, 0,0,1, 8
30, 2019-12-21, 25-229,NYK,, MIL, L (-21), 0, 9:56,1,5, .200, 1,3,.333,0,0,, 0,0,0,1, 0, 0,0,0, 3
31, 2019-12-23, 25-231,NYK,, WAS, L (-6), 0, 27:10,7,13, .538, 5,10,.500,0,2,.000, 0,2,2,3, 0, 0,0,1, 19
32, 2019-12-26, 25-234,NYK,@, BRK, W (+12), 0, 25:08,1,3, .333, 0,0,,0,0,, 0,5,5,2, 1, 0,1,1, 2
33, 2019-12-28, 25-236,NYK,@, WAS, W (+7), 0, 26:28,2,7, .286, 1,4,.250,0,0,, 0,3,3,2, 1, 0,0,0, 5
34, 2020-01-01, 25-240,NYK,, POR, W (+24), 0, 13:16,0,0, , 0,0,,0,0,, 0,1,1,2, 0, 0,0,0, 0
37, 2020-01-07, 25-246,NYK,@, LAL, L (-30), 0, 5:25,1,1, 1.000, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 2
38, 2020-01-08, 25-247,NYK,@, UTA, L (-24), 0, 21:33,5,9, .556, 1,2,.500,0,0,, 1,3,4,0, 1, 0,0,0, 11
39, 2020-01-10, 25-249,NYK,, NOP, L (-12), 0, 17:46,3,8, .375, 1,2,.500,0,0,, 0,4,4,3, 0, 0,0,0, 7
40, 2020-01-12, 25-251,NYK,, MIA, W (+3), 0, 7:54,1,7, .143, 0,2,.000,0,1,.000, 1,1,2,1, 1, 0,0,1, 2
41, 2020-01-14, 25-253,NYK,@, MIL, L (-26), 0, 7:47,0,7, .000, 0,4,.000,0,0,, 0,2,2,0, 0, 0,0,0, 0
42, 2020-01-16, 25-255,NYK,, PHO, L (-23), 0, 26:05,3,6, .500, 0,2,.000,0,0,, 0,2,2,0, 0, 0,2,1, 6
44, 2020-01-20, 25-259,NYK,@, CLE, W (+20), 0, 20:59,5,7, .714, 2,2,1.000,0,0,, 0,5,5,1, 1, 0,0,3, 12
45, 2020-01-22, 25-261,NYK,, LAL, L (-8), 0, 27:24,6,14, .429, 5,11,.455,0,0,, 1,1,2,0, 1, 0,1,1, 17
46, 2020-01-24, 25-263,NYK,, TOR, L (-6), 0, 27:11,7,10, .700, 4,7,.571,3,5,.600, 0,1,1,0, 1, 0,2,3, 21
47, 2020-01-26, 25-265,NYK,, BRK, W (+13), 0, 19:23,2,3, .667, 0,1,.000,0,0,, 0,2,2,1, 1, 0,1,0, 4
48, 2020-01-28, 25-267,NYK,@, CHO, L (-5), 0, 18:39,2,6, .333, 2,4,.500,0,0,, 1,3,4,0, 0, 0,0,4, 6
49, 2020-01-29, 25-268,NYK,, MEM, L (-21), 0, 24:19,5,8, .625, 4,5,.800,1,1,1.000, 0,0,0,1, 0, 0,0,1, 15
50, 2020-02-01, 25-271,NYK,@, IND, W (+7), 0, 27:13,3,8, .375, 2,5,.400,0,0,, 0,1,1,2, 1, 0,1,2, 8
51, 2020-02-03, 25-273,NYK,@, CLE, W (+5), 0, 15:53,3,6, .500, 1,2,.500,2,2,1.000, 0,1,1,2, 1, 0,0,1, 9
55, 2020-02-12, 25-282,NYK,, WAS, L (-18), 0, 6:22,0,1, .000, 0,1,.000,0,0,, 0,0,0,1, 0, 0,0,1, 0
