G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 31-099,PHI,, BOS, W (+14), 0, 16:17,2,7, .286, 0,3,.000,2,2,1.000, 1,5,6,1, 0, 0,0,2, 6
2, 2019-10-26, 31-102,PHI,@, DET, W (+6), 0, 22:19,5,7, .714, 5,6,.833,2,2,1.000, 1,2,3,1, 0, 0,0,2, 17
3, 2019-10-28, 31-104,PHI,@, ATL, W (+2), 0, 9:14,0,2, .000, 0,2,.000,0,0,, 0,1,1,0, 0, 0,0,2, 0
4, 2019-10-30, 31-106,PHI,, MIN, W (+22), 0, 17:38,2,3, .667, 0,1,.000,0,0,, 2,3,5,2, 0, 0,2,5, 4
5, 2019-11-02, 31-109,PHI,@, POR, W (+1), 0, 16:28,5,9, .556, 2,6,.333,0,0,, 0,0,0,1, 0, 0,0,1, 12
6, 2019-11-04, 31-111,PHI,@, PHO, L (-5), 0, 18:16,3,5, .600, 1,2,.500,0,0,, 1,2,3,0, 0, 0,1,1, 7
7, 2019-11-06, 31-113,PHI,@, UTA, L (-2), 0, 18:20,2,3, .667, 1,2,.500,0,0,, 0,2,2,0, 0, 0,1,3, 5
8, 2019-11-08, 31-115,PHI,@, DEN, L (-3), 0, 18:52,1,5, .200, 0,2,.000,1,1,1.000, 2,2,4,0, 2, 0,0,3, 3
9, 2019-11-10, 31-117,PHI,, CHO, W (+8), 0, 21:05,4,9, .444, 1,3,.333,0,0,, 1,4,5,0, 1, 0,1,1, 9
10, 2019-11-12, 31-119,PHI,, CLE, W (+1), 0, 18:56,4,7, .571, 1,3,.333,0,0,, 2,6,8,0, 0, 0,0,2, 9
11, 2019-11-13, 31-120,PHI,@, ORL, L (-15), 0, 16:39,1,3, .333, 1,2,.500,0,0,, 0,3,3,0, 0, 0,1,0, 3
12, 2019-11-15, 31-122,PHI,@, OKC, L (-8), 0, 18:09,1,2, .500, 1,2,.500,0,0,, 0,4,4,1, 0, 0,0,1, 3
13, 2019-11-17, 31-124,PHI,@, CLE, W (+19), 0, 21:21,2,5, .400, 0,2,.000,0,0,, 0,5,5,2, 0, 0,0,0, 4
14, 2019-11-20, 31-127,PHI,, NYK, W (+5), 0, 23:29,4,8, .500, 4,6,.667,0,0,, 1,3,4,0, 0, 1,1,4, 12
15, 2019-11-22, 31-129,PHI,, SAS, W (+11), 0, 20:21,1,4, .250, 0,3,.000,0,0,, 0,2,2,2, 0, 0,0,1, 2
16, 2019-11-23, 31-130,PHI,, MIA, W (+27), 0, 19:23,1,4, .250, 1,3,.333,0,0,, 1,2,3,0, 0, 0,0,0, 3
17, 2019-11-25, 31-132,PHI,@, TOR, L (-5), 0, 20:43,3,5, .600, 3,5,.600,3,4,.750, 0,2,2,0, 1, 0,0,1, 12
18, 2019-11-27, 31-134,PHI,, SAC, W (+6), 0, 23:28,0,7, .000, 0,6,.000,0,0,, 1,1,2,2, 1, 1,0,0, 0
19, 2019-11-29, 31-136,PHI,@, NYK, W (+6), 0, 21:56,0,4, .000, 0,4,.000,0,0,, 2,3,5,1, 0, 0,0,1, 0
20, 2019-11-30, 31-137,PHI,, IND, W (+3), 0, 21:36,1,3, .333, 0,2,.000,2,2,1.000, 0,1,1,1, 0, 0,2,2, 4
21, 2019-12-02, 31-139,PHI,, UTA, W (+9), 0, 15:40,1,4, .250, 1,2,.500,0,0,, 0,2,2,0, 0, 0,0,2, 3
22, 2019-12-05, 31-142,PHI,@, WAS, L (-6), 0, 17:38,0,3, .000, 0,2,.000,0,0,, 1,2,3,1, 1, 0,1,1, 0
23, 2019-12-07, 31-144,PHI,, CLE, W (+47), 1, 24:12,9,12, .750, 3,5,.600,0,0,, 2,4,6,2, 0, 0,0,2, 21
24, 2019-12-08, 31-145,PHI,, TOR, W (+6), 0, 9:06,2,4, .500, 2,4,.500,2,4,.500, 0,2,2,1, 1, 0,0,1, 8
25, 2019-12-10, 31-147,PHI,, DEN, W (+5), 0, 14:13,3,7, .429, 2,6,.333,0,0,, 0,1,1,0, 1, 0,0,0, 8
26, 2019-12-12, 31-149,PHI,@, BOS, W (+6), 1, 28:52,5,7, .714, 5,7,.714,0,0,, 0,4,4,0, 0, 0,0,1, 15
27, 2019-12-13, 31-150,PHI,, NOP, W (+7), 1, 23:00,2,6, .333, 1,4,.250,0,0,, 2,7,9,0, 1, 0,0,0, 5
28, 2019-12-15, 31-152,PHI,@, BRK, L (-20), 1, 20:49,3,5, .600, 2,4,.500,0,0,, 1,0,1,0, 0, 0,0,1, 8
29, 2019-12-18, 31-155,PHI,, MIA, L (-4), 0, 10:59,1,6, .167, 1,6,.167,0,0,, 0,1,1,0, 1, 0,1,0, 3
30, 2019-12-20, 31-157,PHI,, DAL, L (-19), 0, 17:23,3,5, .600, 1,3,.333,0,0,, 0,4,4,3, 1, 0,0,0, 7
31, 2019-12-21, 31-158,PHI,, WAS, W (+17), 0, 17:23,2,4, .500, 2,3,.667,0,0,, 1,2,3,0, 0, 0,0,2, 6
32, 2019-12-23, 31-160,PHI,@, DET, W (+16), 0, 17:18,3,6, .500, 1,4,.250,0,0,, 1,0,1,0, 0, 0,0,1, 7
33, 2019-12-25, 31-162,PHI,, MIL, W (+12), 0, 17:24,1,3, .333, 1,3,.333,0,0,, 0,2,2,0, 0, 0,1,0, 3
34, 2019-12-27, 31-164,PHI,@, ORL, L (-1), 0, 15:01,0,2, .000, 0,1,.000,0,0,, 0,2,2,0, 0, 0,1,1, 0
35, 2019-12-28, 31-165,PHI,@, MIA, L (-1), 0, 20:08,1,5, .200, 1,4,.250,0,0,, 0,3,3,1, 0, 0,0,1, 3
36, 2019-12-31, 31-168,PHI,@, IND, L (-18), 0, 15:23,2,8, .250, 0,2,.000,0,0,, 2,1,3,0, 0, 0,1,3, 4
37, 2020-01-03, 31-171,PHI,@, HOU, L (-10), 0, 12:01,0,4, .000, 0,4,.000,0,0,, 0,4,4,1, 0, 0,0,2, 0
38, 2020-01-06, 31-174,PHI,, OKC, W (+7), 0, 20:11,2,4, .500, 2,3,.667,2,2,1.000, 1,1,2,0, 1, 0,0,1, 8
39, 2020-01-09, 31-177,PHI,, BOS, W (+11), 1, 25:31,3,8, .375, 1,3,.333,0,0,, 2,2,4,1, 0, 0,0,0, 7
