G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 24-015,MEM,@, MIA, L (-19), 0, 20:48,2,6, .333, 1,5,.200,0,0,, 0,1,1,2, 0, 0,2,3, 5
2, 2019-10-25, 24-017,MEM,, CHI, L (-8), 0, 18:21,1,5, .200, 1,3,.333,3,4,.750, 0,1,1,3, 0, 0,0,2, 6
3, 2019-10-27, 24-019,MEM,, BRK, W (+1), 0, 13:50,2,7, .286, 1,3,.333,1,2,.500, 0,2,2,1, 0, 0,0,2, 6
4, 2019-10-29, 24-021,MEM,@, LAL, L (-29), 0, 21:13,4,14, .286, 1,6,.167,4,4,1.000, 1,4,5,1, 2, 0,4,1, 13
5, 2019-11-02, 24-025,MEM,, PHO, L (-9), 0, 10:08,2,3, .667, 1,2,.500,2,2,1.000, 0,1,1,1, 0, 0,1,2, 7
16, 2019-11-25, 24-048,MEM,@, IND, L (-12), 0, 11:58,2,5, .400, 0,2,.000,0,0,, 0,3,3,3, 0, 0,0,0, 4
17, 2019-11-27, 24-050,MEM,, LAC, L (-2), 0, 18:24,1,6, .167, 0,1,.000,0,0,, 0,4,4,2, 0, 0,2,2, 2
18, 2019-11-29, 24-052,MEM,, UTA, L (-9), 0, 12:34,1,7, .143, 1,4,.250,1,1,1.000, 1,2,3,1, 0, 0,1,1, 4
19, 2019-12-01, 24-054,MEM,@, MIN, W (+8), 0, 30:04,4,9, .444, 3,6,.500,2,2,1.000, 0,5,5,0, 1, 0,0,3, 13
20, 2019-12-02, 24-055,MEM,, IND, L (-13), 0, 27:01,2,6, .333, 0,1,.000,2,2,1.000, 0,2,2,3, 0, 0,1,0, 6
21, 2019-12-04, 24-057,MEM,@, CHI, L (-7), 0, 24:42,5,7, .714, 2,3,.667,0,0,, 0,7,7,1, 1, 0,1,3, 12
22, 2019-12-07, 24-060,MEM,@, UTA, L (-14), 0, 25:23,6,9, .667, 1,3,.333,0,0,, 0,2,2,1, 1, 0,1,2, 13
23, 2019-12-09, 24-062,MEM,@, GSW, W (+8), 0, 11:49,6,8, .750, 3,4,.750,0,0,, 0,2,2,0, 0, 1,2,0, 15
29, 2019-12-20, 24-073,MEM,@, CLE, L (-7), 0, 10:41,3,5, .600, 2,3,.667,1,2,.500, 0,1,1,0, 0, 0,0,1, 9
30, 2019-12-21, 24-074,MEM,, SAC, W (+4), 0, 20:33,5,8, .625, 3,5,.600,0,0,, 0,2,2,3, 0, 0,0,2, 13
31, 2019-12-23, 24-076,MEM,, SAS, L (-30), 0, 17:35,3,6, .500, 2,5,.400,0,0,, 0,0,0,2, 0, 0,1,1, 8
32, 2019-12-26, 24-079,MEM,@, OKC, W (+13), 0, 12:49,2,3, .667, 1,1,1.000,0,0,, 0,0,0,1, 0, 0,0,0, 5
33, 2019-12-28, 24-081,MEM,@, DEN, L (-9), 0, 13:54,2,6, .333, 2,5,.400,0,0,, 0,2,2,2, 0, 0,2,2, 6
34, 2019-12-29, 24-082,MEM,, CHO, W (+13), 0, 25:42,4,11, .364, 3,9,.333,4,4,1.000, 1,4,5,2, 0, 0,1,0, 15
35, 2020-01-02, 24-086,MEM,@, SAC, L (-5), 0, 6:43,1,3, .333, 0,1,.000,0,0,, 0,0,0,0, 0, 0,0,2, 2
36, 2020-01-04, 24-088,MEM,@, LAC, W (+26), 0, 14:54,2,3, .667, 1,1,1.000,4,4,1.000, 0,2,2,1, 0, 0,1,2, 9
37, 2020-01-05, 24-089,MEM,@, PHO, W (+7), 0, 12:28,2,2, 1.000, 0,0,,0,0,, 0,1,1,1, 0, 0,0,0, 4
38, 2020-01-07, 24-091,MEM,, MIN, W (+7), 0, 6:15,1,4, .250, 0,2,.000,0,0,, 0,0,0,0, 0, 0,0,1, 2
39, 2020-01-10, 24-094,MEM,, SAS, W (+13), 0, 19:39,1,4, .250, 0,3,.000,0,0,, 1,2,3,0, 1, 0,1,0, 2
40, 2020-01-12, 24-096,MEM,, GSW, W (+20), 0, 15:44,3,5, .600, 3,3,1.000,2,2,1.000, 1,3,4,2, 0, 0,1,0, 11
41, 2020-01-14, 24-098,MEM,, HOU, W (+11), 0, 21:22,2,5, .400, 0,3,.000,2,3,.667, 0,2,2,4, 0, 0,0,2, 6
42, 2020-01-17, 24-101,MEM,, CLE, W (+4), 0, 16:09,5,6, .833, 1,2,.500,0,1,.000, 0,1,1,2, 0, 0,0,1, 11
43, 2020-01-20, 24-104,MEM,, NOP, L (-10), 0, 12:41,1,4, .250, 0,2,.000,0,0,, 0,0,0,1, 0, 0,0,0, 2
44, 2020-01-22, 24-106,MEM,@, BOS, L (-24), 0, 18:02,4,8, .500, 0,3,.000,2,2,1.000, 0,4,4,3, 0, 0,0,1, 10
45, 2020-01-24, 24-108,MEM,@, DET, W (+13), 0, 6:15,0,1, .000, 0,0,,0,0,, 0,1,1,0, 0, 0,1,0, 0
