G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 23-027,PHI,, BOS, W (+14), 0, 1:06,0,0, , 0,0,,0,0,, 0,0,0,1, 0, 0,0,0, 0
2, 2019-10-26, 23-030,PHI,@, DET, W (+6), 0, 12:09,4,7, .571, 2,4,.500,0,0,, 0,2,2,2, 0, 0,2,2, 10
3, 2019-10-28, 23-032,PHI,@, ATL, W (+2), 0, 12:32,2,5, .400, 2,5,.400,3,4,.750, 0,0,0,0, 0, 0,2,3, 9
11, 2019-11-13, 23-048,PHI,@, ORL, L (-15), 0, 9:36,1,5, .200, 0,3,.000,1,1,1.000, 0,1,1,1, 0, 0,0,2, 3
13, 2019-11-17, 23-052,PHI,@, CLE, W (+19), 0, 3:11,0,1, .000, 0,0,,0,0,, 0,0,0,0, 0, 0,1,0, 0
14, 2019-11-20, 23-055,PHI,, NYK, W (+5), 0, 16:51,3,6, .500, 0,2,.000,0,0,, 1,3,4,0, 0, 0,3,3, 6
15, 2019-11-22, 23-057,PHI,, SAS, W (+11), 0, 7:01,0,2, .000, 0,1,.000,0,0,, 0,0,0,0, 1, 0,1,0, 0
16, 2019-11-23, 23-058,PHI,, MIA, W (+27), 0, 7:50,0,3, .000, 0,2,.000,2,2,1.000, 0,0,0,0, 0, 0,3,3, 2
23, 2019-12-07, 23-072,PHI,, CLE, W (+47), 0, 12:00,2,6, .333, 0,2,.000,1,2,.500, 0,1,1,3, 0, 0,0,0, 5
32, 2019-12-23, 23-088,PHI,@, DET, W (+16), 0, 0:58,1,1, 1.000, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 2
36, 2019-12-31, 23-096,PHI,@, IND, L (-18), 0, 15:49,2,5, .400, 1,3,.333,3,4,.750, 1,6,7,1, 0, 1,1,2, 8
40, 2020-01-11, 23-107,PHI,@, DAL, L (-18), 0, 2:34,1,1, 1.000, 0,0,,0,0,, 0,0,0,1, 0, 0,0,0, 2
46, 2020-01-22, 23-118,PHI,@, TOR, L (-12), 0, 22:31,3,10, .300, 3,6,.500,0,0,, 1,3,4,2, 0, 0,1,4, 9
47, 2020-01-25, 23-121,PHI,, LAL, W (+17), 1, 25:00,3,5, .600, 1,3,.333,0,2,.000, 1,8,9,3, 1, 0,1,2, 7
48, 2020-01-28, 23-124,PHI,, GSW, W (+11), 1, 25:45,5,6, .833, 1,2,.500,0,0,, 0,1,1,2, 1, 0,2,3, 11
49, 2020-01-30, 23-126,PHI,@, ATL, L (-10), 1, 35:26,7,12, .583, 5,9,.556,8,10,.800, 0,5,5,6, 1, 0,1,4, 27
50, 2020-02-01, 23-128,PHI,@, BOS, L (-21), 1, 29:05,3,8, .375, 1,4,.250,4,4,1.000, 0,4,4,0, 3, 0,0,5, 11
51, 2020-02-03, 23-130,PHI,@, MIA, L (-31), 1, 29:57,5,11, .455, 1,5,.200,0,0,, 0,0,0,4, 0, 0,2,1, 11
52, 2020-02-06, 23-133,PHI,@, MIL, L (-11), 1, 23:30,3,6, .500, 1,2,.500,1,1,1.000, 0,4,4,3, 1, 0,2,3, 8
53, 2020-02-07, 23-134,PHI,, MEM, W (+12), 1, 21:41,1,7, .143, 0,2,.000,0,0,, 1,1,2,2, 0, 0,0,3, 2
54, 2020-02-09, 23-136,PHI,, CHI, W (+7), 1, 13:07,2,5, .400, 1,2,.500,0,0,, 1,0,1,2, 1, 0,1,1, 5
55, 2020-02-11, 23-138,PHI,, LAC, W (+7), 0, 0:42,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
56, 2020-02-20, 23-147,PHI,, BRK, W (+8), 0, 13:42,2,4, .500, 0,1,.000,1,1,1.000, 0,1,1,1, 0, 0,1,0, 5
57, 2020-02-22, 23-149,PHI,@, MIL, L (-21), 0, 21:52,5,9, .556, 5,7,.714,2,2,1.000, 0,0,0,2, 0, 0,1,0, 17
58, 2020-02-24, 23-151,PHI,, ATL, W (+17), 1, 26:27,3,7, .429, 1,3,.333,0,0,, 1,4,5,6, 1, 1,2,3, 7
59, 2020-02-26, 23-153,PHI,@, CLE, L (-14), 1, 37:10,8,14, .571, 4,6,.667,0,0,, 0,4,4,4, 0, 1,0,3, 20
60, 2020-02-27, 23-154,PHI,, NYK, W (+9), 1, 31:34,6,7, .857, 5,5,1.000,2,2,1.000, 1,2,3,4, 1, 2,1,3, 19
61, 2020-03-01, 23-157,PHI,@, LAC, L (-6), 1, 39:36,14,20, .700, 7,9,.778,4,5,.800, 1,2,3,5, 1, 0,2,5, 39
62, 2020-03-03, 23-159,PHI,@, LAL, L (-13), 1, 28:39,4,9, .444, 2,6,.333,2,4,.500, 0,1,1,6, 4, 0,5,4, 12
63, 2020-03-05, 23-161,PHI,@, SAC, W (+17), 1, 27:13,8,14, .571, 3,5,.600,1,1,1.000, 0,3,3,3, 1, 1,1,4, 20
64, 2020-03-07, 23-163,PHI,@, GSW, L (-4), 1, 29:23,5,10, .500, 1,3,.333,3,4,.750, 2,1,3,3, 1, 0,0,3, 14
65, 2020-03-11, 23-167,PHI,, DET, W (+18), 1, 27:31,5,11, .455, 1,4,.250,1,2,.500, 0,0,0,4, 1, 0,2,3, 12
