G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-22, 30-222,LAC,, LAL, W (+10), 1, 17:29,1,3, .333, 1,3,.333,1,2,.500, 1,2,3,0, 0, 0,0,2, 4
2, 2019-10-24, 30-224,LAC,@, GSW, W (+19), 1, 28:10,7,13, .538, 6,10,.600,0,0,, 0,3,3,1, 0, 0,1,3, 20
3, 2019-10-26, 30-226,LAC,@, PHO, L (-8), 1, 30:53,2,8, .250, 1,5,.200,0,0,, 0,7,7,1, 0, 1,0,2, 5
4, 2019-10-28, 30-228,LAC,, CHO, W (+15), 1, 23:29,1,2, .500, 1,1,1.000,0,0,, 1,2,3,3, 1, 0,1,2, 3
5, 2019-10-30, 30-230,LAC,@, UTA, L (-14), 1, 28:58,1,4, .250, 1,2,.500,0,0,, 1,2,3,2, 0, 0,0,2, 3
6, 2019-10-31, 30-231,LAC,, SAS, W (+6), 1, 18:54,0,5, .000, 0,5,.000,0,0,, 4,5,9,2, 1, 0,1,0, 0
7, 2019-11-03, 30-234,LAC,, UTA, W (+11), 1, 12:22,0,1, .000, 0,1,.000,0,0,, 0,1,1,1, 0, 0,1,1, 0
8, 2019-11-06, 30-237,LAC,, MIL, L (-5), 1, 13:22,1,2, .500, 0,1,.000,0,0,, 0,5,5,0, 0, 0,1,0, 2
9, 2019-11-07, 30-238,LAC,, POR, W (+6), 1, 20:15,2,7, .286, 1,4,.250,1,2,.500, 1,2,3,1, 0, 0,0,0, 6
10, 2019-11-11, 30-242,LAC,, TOR, W (+10), 1, 15:18,4,9, .444, 4,8,.500,0,0,, 2,0,2,1, 0, 0,0,1, 12
11, 2019-11-13, 30-244,LAC,@, HOU, L (-9), 1, 4:17,0,0, , 0,0,,0,0,, 1,0,1,0, 0, 0,1,0, 0
12, 2019-11-14, 30-245,LAC,@, NOP, L (-5), 0, 3:18,1,3, .333, 1,2,.500,0,0,, 0,0,0,0, 0, 0,0,0, 3
