G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 27-347,DET,@, IND, W (+9), 1, 31:53,4,7, .571, 2,4,.500,0,0,, 0,2,2,2, 0, 0,1,4, 10
2, 2019-10-24, 27-348,DET,, ATL, L (-17), 1, 33:36,3,8, .375, 3,7,.429,0,0,, 1,1,2,2, 0, 1,0,2, 9
3, 2019-10-26, 27-350,DET,, PHI, L (-6), 1, 24:57,1,4, .250, 1,3,.333,0,0,, 0,1,1,6, 2, 0,0,3, 3
4, 2019-10-28, 27-352,DET,, IND, W (+2), 1, 22:19,3,6, .500, 2,5,.400,0,0,, 0,2,2,1, 0, 0,1,1, 8
5, 2019-10-30, 27-354,DET,@, TOR, L (-12), 1, 18:49,2,7, .286, 2,4,.500,0,0,, 1,0,1,2, 0, 0,0,0, 6
6, 2019-11-01, 27-356,DET,@, CHI, L (-6), 1, 27:20,2,5, .400, 0,3,.000,2,2,1.000, 0,0,0,2, 1, 0,0,2, 6
7, 2019-11-02, 27-357,DET,, BRK, W (+4), 1, 30:36,4,9, .444, 2,5,.400,0,0,, 1,3,4,0, 1, 1,0,1, 10
8, 2019-11-04, 27-359,DET,@, WAS, L (-16), 1, 33:51,4,14, .286, 3,9,.333,0,0,, 0,1,1,0, 0, 0,0,0, 11
9, 2019-11-06, 27-361,DET,, NYK, W (+20), 1, 32:23,9,9, 1.000, 6,6,1.000,0,0,, 0,1,1,2, 1, 0,0,3, 24
10, 2019-11-08, 27-363,DET,@, IND, L (-6), 1, 33:10,4,10, .400, 3,8,.375,0,0,, 2,0,2,2, 1, 0,2,3, 11
11, 2019-11-11, 28-001,DET,, MIN, L (-6), 1, 30:59,5,7, .714, 4,6,.667,2,2,1.000, 0,1,1,3, 1, 0,2,3, 16
12, 2019-11-12, 28-002,DET,@, MIA, L (-9), 1, 23:38,2,7, .286, 2,6,.333,0,0,, 0,1,1,1, 0, 0,0,0, 6
13, 2019-11-15, 28-005,DET,@, CHO, L (-3), 1, 8:36,0,0, , 0,0,,0,0,, 0,1,1,0, 0, 0,0,1, 0
18, 2019-11-27, 28-017,DET,@, CHO, L (-1), 0, 19:31,0,2, .000, 0,1,.000,0,0,, 0,3,3,0, 0, 0,0,2, 0
