G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 29-190,DET,@, IND, W (+9), 1, 20:21,2,3, .667, 1,2,.500,0,0,, 0,1,1,5, 0, 0,1,1, 5
2, 2019-10-24, 29-191,DET,, ATL, L (-17), 1, 15:25,2,8, .250, 0,3,.000,1,1,1.000, 1,3,4,3, 0, 0,0,1, 5
45, 2020-01-22, 29-281,DET,, SAC, W (+21), 0, 19:05,8,14, .571, 3,7,.429,3,3,1.000, 0,3,3,4, 2, 0,1,0, 22
46, 2020-01-24, 29-283,DET,, MEM, L (-13), 1, 23:10,4,13, .308, 1,3,.333,5,7,.714, 1,2,3,6, 2, 0,1,4, 14
48, 2020-01-27, 29-286,DET,, CLE, L (-15), 1, 25:04,6,14, .429, 3,5,.600,1,2,.500, 0,2,2,2, 1, 0,2,0, 16
49, 2020-01-29, 29-288,DET,@, BRK, L (-10), 0, 26:26,8,14, .571, 4,6,.667,3,5,.600, 1,2,3,5, 0, 1,2,3, 23
50, 2020-01-31, 29-290,DET,, TOR, L (-13), 0, 30:15,2,12, .167, 1,7,.143,3,3,1.000, 1,0,1,2, 1, 0,3,0, 8
51, 2020-02-02, 29-292,DET,, DEN, W (+5), 0, 34:09,8,18, .444, 2,4,.500,2,2,1.000, 1,2,3,6, 0, 0,0,2, 20
52, 2020-02-03, 29-293,DET,@, MEM, L (-14), 1, 24:23,1,16, .063, 1,6,.167,0,0,, 2,5,7,4, 0, 0,1,0, 3
53, 2020-02-05, 29-295,DET,, PHO, W (+8), 1, 34:08,10,24, .417, 5,9,.556,0,0,, 1,4,5,9, 1, 0,2,1, 25
54, 2020-02-07, 29-297,DET,@, OKC, L (-7), 1, 32:44,11,18, .611, 3,8,.375,3,4,.750, 1,2,3,3, 0, 0,2,4, 28
55, 2020-02-08, 29-298,DET,, NYK, L (-3), 1, 31:23,7,17, .412, 3,7,.429,3,4,.750, 1,1,2,9, 1, 0,2,3, 20
56, 2020-02-10, 29-300,DET,, CHO, L (-11), 1, 28:22,2,11, .182, 2,7,.286,2,2,1.000, 0,1,1,3, 0, 0,2,1, 8
57, 2020-02-12, 29-302,DET,@, ORL, L (-4), 1, 35:56,5,16, .313, 2,8,.250,0,0,, 1,2,3,11, 0, 0,4,1, 12
58, 2020-02-22, 29-312,LAC,, SAC, L (-9), 1, 22:30,3,9, .333, 2,6,.333,0,0,, 0,2,2,4, 0, 0,2,3, 8
59, 2020-02-24, 29-314,LAC,, MEM, W (+27), 0, 22:07,2,6, .333, 1,3,.333,0,0,, 1,2,3,6, 1, 0,2,5, 5
60, 2020-02-26, 29-316,LAC,@, PHO, W (+10), 0, 16:17,4,6, .667, 2,4,.500,2,2,1.000, 1,1,2,1, 0, 1,1,0, 12
61, 2020-02-28, 29-318,LAC,, DEN, W (+29), 0, 18:32,4,6, .667, 2,4,.500,0,0,, 2,6,8,7, 1, 0,1,1, 10
62, 2020-03-01, 29-320,LAC,, PHI, W (+6), 0, 19:28,4,5, .800, 1,1,1.000,4,4,1.000, 0,4,4,3, 0, 2,0,1, 13
63, 2020-03-03, 29-322,LAC,@, OKC, W (+15), 0, 24:59,3,8, .375, 1,4,.250,0,0,, 0,2,2,3, 0, 0,4,3, 7
64, 2020-03-05, 29-324,LAC,@, HOU, W (+15), 0, 17:33,2,5, .400, 1,3,.333,1,2,.500, 0,2,2,1, 0, 0,3,5, 6
65, 2020-03-08, 29-327,LAC,, LAL, L (-9), 0, 14:26,3,7, .429, 1,2,.500,1,1,1.000, 0,3,3,0, 0, 0,1,1, 8
66, 2020-03-10, 29-329,LAC,@, GSW, W (+24), 0, 19:12,6,7, .857, 3,4,.750,1,1,1.000, 0,0,0,4, 0, 1,3,0, 16
