G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2, 2019-10-25, 23-149,TOR,@, BOS, L (-6), 0, 5:01,1,2, .500, 1,2,.500,0,0,, 0,2,2,0, 0, 0,1,2, 3
3, 2019-10-26, 23-150,TOR,@, CHI, W (+24), 0, 4:45,1,2, .500, 0,1,.000,0,0,, 1,1,2,0, 1, 0,3,2, 2
8, 2019-11-08, 23-163,TOR,@, NOP, W (+18), 0, 1:03,0,1, .000, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
9, 2019-11-10, 23-165,TOR,@, LAL, W (+9), 0, 2:58,0,1, .000, 0,1,.000,0,0,, 0,0,0,0, 0, 0,0,0, 0
11, 2019-11-13, 23-168,TOR,@, POR, W (+8), 0, 4:59,1,3, .333, 0,0,,0,0,, 1,2,3,0, 0, 0,0,2, 2
31, 2019-12-25, 23-210,TOR,, BOS, L (-16), 0, 4:25,3,4, .750, 0,0,,0,0,, 0,0,0,0, 1, 0,1,0, 6
32, 2019-12-28, 23-213,TOR,@, BOS, W (+16), 0, 1:53,0,0, , 0,0,,0,0,, 0,2,2,0, 0, 0,0,0, 0
34, 2019-12-31, 23-216,TOR,, CLE, W (+20), 0, 1:57,0,0, , 0,0,,2,2,1.000, 0,0,0,0, 0, 0,0,0, 2
35, 2020-01-02, 23-218,TOR,@, MIA, L (-8), 0, 5:52,0,1, .000, 0,1,.000,0,0,, 0,0,0,0, 0, 0,0,0, 0
36, 2020-01-04, 23-220,TOR,@, BRK, W (+19), 0, 7:42,0,4, .000, 0,3,.000,0,0,, 0,3,3,0, 0, 0,0,0, 0
37, 2020-01-07, 23-223,TOR,, POR, L (-2), 0, 17:25,1,7, .143, 1,4,.250,1,2,.500, 1,2,3,2, 0, 1,1,0, 4
38, 2020-01-08, 23-224,TOR,@, CHO, W (+2), 0, 7:42,0,0, , 0,0,,0,0,, 0,0,0,0, 1, 0,1,0, 0
41, 2020-01-17, 23-233,TOR,, WAS, W (+29), 0, 4:56,0,0, , 0,0,,0,0,, 0,0,0,1, 0, 0,0,1, 0
42, 2020-01-18, 23-234,TOR,@, MIN, W (+10), 0, 2:40,0,1, .000, 0,0,,0,0,, 0,0,0,1, 0, 0,0,0, 0
47, 2020-01-28, 23-244,TOR,, ATL, W (+16), 0, 5:00,1,1, 1.000, 0,0,,0,0,, 0,1,1,1, 0, 0,1,0, 2
49, 2020-01-31, 23-247,TOR,@, DET, W (+13), 0, 1:33,0,1, .000, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
50, 2020-02-02, 23-249,TOR,, CHI, W (+27), 0, 4:26,0,0, , 0,0,,0,0,, 0,2,2,1, 0, 1,0,1, 0
56, 2020-02-21, 23-268,TOR,, PHO, W (+17), 0, 1:28,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
57, 2020-02-23, 23-270,TOR,, IND, W (+46), 0, 9:29,0,2, .000, 0,1,.000,2,2,1.000, 0,4,4,2, 1, 0,0,2, 2
60, 2020-03-01, 23-277,TOR,@, DEN, L (-15), 0, 1:01,0,1, .000, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
