G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 24-242,MIN,@, BRK, W (+1), 1, 36:13,10,27, .370, 0,4,.000,1,2,.500, 5,3,8,0, 0, 0,1,4, 21
2, 2019-10-25, 24-244,MIN,@, CHO, W (+22), 1, 32:40,6,13, .462, 0,3,.000,4,5,.800, 2,2,4,2, 1, 1,1,1, 16
3, 2019-10-27, 24-246,MIN,, MIA, W (+7), 1, 35:27,9,18, .500, 4,10,.400,3,4,.750, 1,5,6,0, 0, 0,3,3, 25
4, 2019-10-30, 24-249,MIN,@, PHI, L (-22), 1, 33:00,6,16, .375, 1,6,.167,6,6,1.000, 1,4,5,2, 1, 1,1,1, 19
5, 2019-11-02, 24-252,MIN,@, WAS, W (+22), 1, 26:25,7,16, .438, 4,9,.444,3,4,.750, 0,5,5,6, 0, 1,1,0, 21
6, 2019-11-04, 24-254,MIN,, MIL, L (-28), 1, 30:38,10,21, .476, 4,7,.571,1,2,.500, 1,2,3,0, 0, 2,2,3, 25
7, 2019-11-06, 24-256,MIN,@, MEM, L (-16), 1, 34:20,11,21, .524, 3,8,.375,5,8,.625, 1,1,2,6, 2, 1,3,5, 30
8, 2019-11-08, 24-258,MIN,, GSW, W (+6), 1, 44:37,17,33, .515, 2,7,.286,4,8,.500, 1,4,5,7, 0, 3,0,4, 40
9, 2019-11-10, 24-260,MIN,, DEN, L (-2), 1, 40:28,10,22, .455, 1,6,.167,4,4,1.000, 0,4,4,5, 1, 1,1,1, 25
10, 2019-11-11, 24-261,MIN,@, DET, W (+6), 1, 35:57,12,20, .600, 3,5,.600,6,8,.750, 0,6,6,5, 1, 1,2,0, 33
11, 2019-11-13, 24-263,MIN,, SAS, W (+15), 1, 31:45,12,23, .522, 4,7,.571,2,2,1.000, 2,6,8,7, 2, 1,2,1, 30
15, 2019-11-20, 24-270,MIN,, UTA, L (-8), 1, 34:09,10,24, .417, 1,10,.100,1,3,.333, 2,5,7,3, 0, 0,3,3, 22
16, 2019-11-23, 24-273,MIN,, PHO, L (-2), 1, 36:28,9,21, .429, 2,6,.333,1,3,.333, 1,3,4,3, 0, 3,4,6, 21
