G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 26-074,DET,@, IND, W (+9), 1, 40:48,12,18, .667, 0,1,.000,8,10,.800, 7,16,23,2, 3, 4,2,4, 32
2, 2019-10-24, 26-075,DET,, ATL, L (-17), 1, 36:45,8,12, .667, 0,0,,5,6,.833, 1,11,12,2, 4, 1,4,4, 21
3, 2019-10-26, 26-077,DET,, PHI, L (-6), 1, 24:38,5,10, .500, 0,0,,3,10,.300, 3,9,12,1, 0, 2,2,6, 13
4, 2019-10-28, 26-079,DET,, IND, W (+2), 1, 38:18,8,15, .533, 0,1,.000,2,3,.667, 4,14,18,1, 0, 2,6,3, 18
5, 2019-10-30, 26-081,DET,@, TOR, L (-12), 1, 35:20,10,17, .588, 0,0,,1,2,.500, 8,14,22,3, 0, 1,5,4, 21
6, 2019-11-01, 26-083,DET,@, CHI, L (-6), 1, 35:06,11,17, .647, 0,2,.000,3,5,.600, 6,18,24,2, 2, 3,5,4, 25
7, 2019-11-02, 26-084,DET,, BRK, W (+4), 1, 38:51,10,16, .625, 0,1,.000,5,6,.833, 3,17,20,6, 3, 5,4,4, 25
8, 2019-11-04, 26-086,DET,@, WAS, L (-16), 1, 38:49,6,20, .300, 0,1,.000,3,3,1.000, 8,16,24,4, 2, 2,4,5, 15
9, 2019-11-06, 26-088,DET,, NYK, W (+20), 1, 34:54,12,16, .750, 0,0,,3,4,.750, 4,8,12,7, 1, 0,4,1, 27
10, 2019-11-08, 26-090,DET,@, IND, L (-6), 1, 33:36,6,14, .429, 0,2,.000,3,4,.750, 1,12,13,8, 0, 1,4,5, 15
11, 2019-11-11, 26-093,DET,, MIN, L (-6), 1, 29:00,4,12, .333, 0,0,,3,3,1.000, 8,4,12,1, 4, 3,3,5, 11
12, 2019-11-12, 26-094,DET,@, MIA, L (-9), 1, 27:39,6,9, .667, 0,0,,4,6,.667, 4,5,9,0, 2, 2,5,6, 16
13, 2019-11-15, 26-097,DET,@, CHO, L (-3), 1, 38:09,8,16, .500, 0,0,,0,0,, 3,17,20,2, 0, 0,4,3, 16
14, 2019-11-20, 26-102,DET,@, CHI, L (-20), 1, 33:31,3,10, .300, 0,1,.000,0,0,, 2,12,14,4, 2, 3,3,6, 6
15, 2019-11-22, 26-104,DET,, ATL, W (+25), 1, 27:33,10,16, .625, 0,1,.000,3,4,.750, 8,7,15,2, 2, 1,4,4, 23
16, 2019-11-23, 26-105,DET,@, MIL, L (-14), 1, 36:47,5,10, .500, 0,0,,2,4,.500, 3,14,17,4, 2, 0,5,4, 12
17, 2019-11-25, 26-107,DET,, ORL, W (+15), 1, 30:19,3,6, .500, 0,0,,1,2,.500, 3,15,18,1, 0, 1,3,3, 7
